I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,FOCAL_DEPTH,EQ_PRIMARY,LATITUDE,LONGITUDE,DEATHS
2566,,1900,1,11,,7.8,36.5,133.5,
2569,,1900,1,20,10,7.4,20,-105,
2571,,1900,5,16,60,7.8,20,-105,
2573,,1900,6,21,60,7.5,10,-85.5,
2575,,1900,7,29,33,7.6,-10,165,
6232,Tsu,1900,9,10,,6.8,-4,152,
2577,,1900,9,18,,7.9,4.6,-74,
6574,Tsu,1900,10,7,33,6.9,-4,140,
2580,,1900,10,9,,8.3,57.09,-153.48,
2583,Tsu,1900,10,29,25,8.4,11,-66,
2586,,1900,12,25,40,7.9,43,146,
2587,,1901,1,7,25,7.8,-2,-82,
9778,Tsu,1901,3,31,,7.2,43.4,28.5,4
2591,,1901,4,5,30,7.5,45,148,
2592,Tsu,1901,6,24,60,7.9,27,130,
2594,Tsu,1901,8,9,33,7.9,40.5,142.5,
2595,Tsu,1901,8,9,60,8.4,-22,170,
2596,Tsu,1901,8,9,33,8.2,40.6,142.3,18
9352,Tsu,1901,10,8,,7,11,-86.5,
2601,,1901,12,14,33,7.8,14,122,
2603,Tsu,1901,12,31,,7.8,51.45,-171.02,
2606,,1902,1,1,,7.8,52.4,-167.5,
2608,,1902,1,16,,7,17.6,-99.7,2
2610,,1902,1,24,60,7.8,-8,150,
2612,,1902,2,9,60,7.8,-20,-174,
2613,,1902,2,13,15,6.9,40.7,48.6,86
2614,Tsu,1902,2,26,,7,13.5,-89.5,
2618,Tsu,1902,4,19,33,7.5,14,-91,2000
2622,,1902,6,11,600,8,50,148,
2626,Tsu,1902,8,21,,7.3,7.5,123.5,
2631,,1902,8,22,30,7.7,39.88,76.2,2500
2634,,1902,9,22,33,8.1,18,146,
2635,,1902,9,23,100,7.8,16.6,-92.6,
2637,,1902,12,12,60,7.8,29,-114,
2641,,1903,1,4,400,8,-20,-175,
2642,,1903,1,14,33,7.7,15,-98,
2644,,1903,2,1,60,7.8,48,98,
2645,,1903,2,27,,8.1,-8,106,
2652,,1903,5,13,60,7.9,-17,168,
2656,Tsu,1903,6,2,,8.3,61.56,-158.54,
2658,,1903,8,8,,7.7,4.6,-74,
2660,,1903,8,11,100,7.8,36,23,2
2665,,1903,12,28,60,7.8,7,126,
2666,Tsu,1904,1,20,60,7.9,7,-79,
2667,,1904,3,18,40,7.6,42.5,145.8,
2670,,1904,4,4,15,7.5,41.8,23.2,
2671,,1904,4,4,15,7.8,41.8,23.2,
2676,,1904,6,7,350,7.9,40,134,
2678,Tsu,1904,6,25,30,8.3,52,159,
2679,Tsu,1904,6,25,30,8.1,52,159,
2682,,1904,6,27,60,7.9,52,159,
2683,Tsu,1904,8,8,33,7.5,-40.5,177,
2688,,1904,8,24,25,7.9,30,130,
2690,,1904,8,27,,8.3,64.66,-148.08,
2695,,1904,11,1,,7.7,-1,-80.5,
2700,Tsu,1904,12,20,60,7.2,9.2,-82.8,
10144,Tsu,1905,1,20,,6.8,9.85,-84.68,
2702,,1905,1,22,90,8.4,1,123,
2703,,1905,2,14,,7.9,50.73,-178.55,
2707,,1905,3,18,60,7.5,-27.5,-173,
2709,Tsu,1905,4,4,25,7.8,33,76,19000
2713,,1905,5,18,60,7.5,-4,149,
2717,,1905,6,2,100,7.8,34,132,11
2718,,1905,6,30,60,7.6,-1,-168,
2719,Tsu,1905,7,6,33,7,37.4,142.6,
2722,,1905,7,9,33,8.4,49,99,
2726,,1905,7,23,33,8.4,49,98,
2729,,1905,9,1,230,7.5,45,143,
2732,Tsu,1905,9,8,,7.9,39,16,557
2735,,1905,9,15,60,7.8,53,164,
2737,Tsu,1905,10,21,60,7.5,42,42,
2739,,1905,11,8,30,7.8,40.25,24.2,
2743,,1905,12,4,,6.8,38.1,38.6,
2744,,1906,1,21,340,8.4,34,138,
2748,Tsu,1906,1,31,25,8.6,1,-81.5,1000
2753,,1906,2,3,,7.7,3.5,-76.2,
2762,,1906,3,16,,6.8,23.6,120.5,1258
2764,,1906,4,10,60,7.5,19,-113.8,
2768,Tsu,1906,4,18,20,7.9,37.67,-122.48,700
2772,,1906,7,11,,7.7,4.6,-74,
2773,,1906,7,14,,7.7,4.6,-74,
2777,,1906,8,17,25,7.8,51.05,179.69,
2779,Tsu,1906,8,17,25,8.2,-33,-72,4000
2780,,1906,8,25,,6.8,9,38.4,
2782,Tsu,1906,9,14,33,8,-7,149,
2784,,1906,9,28,150,7.9,-2,-79,
2787,Tsu,1906,10,2,,7.2,-4,149,
2788,,1906,11,19,,7.8,-22,109,
2790,,1906,12,3,100,7.9,15,-61,
2794,,1906,12,22,33,8.3,43.5,85,280
2796,,1906,12,23,,7.6,56.85,-153.9,
